customerID;jobID;bookingTime;vaTime;startX;startY;endX;endY
10001;AP0000;31.07.2016 00:26;31.07.2016 00:26;476140.3324;5552867.788;476893.608;5552824.655
10002;AP0001;31.07.2016 00:30;31.07.2016 00:30;476254.439;5552674.937;476257.698;5552850.459
10003;AP0002;31.07.2016 00:49;31.07.2016 00:49;476643.3029;5552884.113;476403.3152;5552742.135
10005;AP0003;31.07.2016 01:00;31.07.2016 01:00;476779.4636;5552484.219;476262.1449;5552793.431
10006;AP0004;31.07.2016 01:04;31.07.2016 01:04;476217.6255;5552536.017;476531.3364;5552479.073
10011;AP0005;31.07.2016 01:44;31.07.2016 01:44;476581.3015;5552449.16;476841.9255;5552595.616
10014;AP0006;31.07.2016 02:40;31.07.2016 02:40;475974.2095;5552963.018;476036.9294;5553053.064
10017;AP0007;31.07.2016 04:51;31.07.2016 04:51;476205.9725;5553026.517;476132.5128;5552982.503
10018;AP0008;31.07.2016 05:18;31.07.2016 05:18;476420.6671;5552563.126;476190.4268;5552805.447
10019;AP0009;31.07.2016 05:30;31.07.2016 05:30;476148.577;5552985.844;476055.0879;5553072.388
10023;AP0010;31.07.2016 06:25;31.07.2016 06:25;476226.5217;5552668.108;476053.3012;5552761.401
10027;AP0011;31.07.2016 06:47;31.07.2016 06:47;476609.6509;5552752.339;476610.023;5552970.611
10029;AP0012;31.07.2016 06:53;31.07.2016 06:53;475949.9206;5552740.898;476747.6196;5552640.033
10031;AP0013;31.07.2016 07:04;31.07.2016 07:04;476258.0837;5552326.253;476685.2311;5552467.041
10034;AP0014;31.07.2016 07:15;31.07.2016 07:15;476821.7403;5552493.178;476920.1672;5552818.376
10043;AP0015;31.07.2016 07:41;31.07.2016 07:41;476744.9115;5552986.977;476617.5945;5552919.761
10045;AP0016;31.07.2016 07:45;31.07.2016 07:45;476142.7694;5553197.959;476241.0488;5552778.57
10046;AP0017;31.07.2016 07:46;31.07.2016 07:46;475978.6984;5552951.559;476710.7662;5552448.289
10048;AP0018;31.07.2016 07:48;31.07.2016 07:48;476518.4126;5552791.643;476086.9463;5552936.662
10051;AP0019;31.07.2016 07:58;31.07.2016 07:58;476430.7775;5552256.326;476294.4367;5552396.413
10056;AP0020;31.07.2016 08:06;31.07.2016 08:06;476114.7016;5552729.708;476917.3372;5552817.833
10059;AP0021;31.07.2016 08:13;31.07.2016 08:13;476130.5645;5552826.73;476825.9734;5553023.249
10060;AP0022;31.07.2016 08:16;31.07.2016 08:16;476221.5702;5553128.954;476467.4205;5552910.949
10065;AP0023;31.07.2016 08:21;31.07.2016 08:21;476619.0223;5552921.176;476384.492;5552869.05
10066;AP0024;31.07.2016 08:24;31.07.2016 08:24;476241.8979;5552774.886;476565.0474;5552724.516
10067;AP0025;31.07.2016 08:24;31.07.2016 08:24;476060.2246;5552564.742;476705.8035;5552678.679
10070;AP0026;31.07.2016 08:34;31.07.2016 08:34;476193.409;5552888.05;476419.7798;5552526.613
10071;AP0027;31.07.2016 08:35;31.07.2016 08:35;476405.9914;5552325.403;476053.8236;5552291.244
10081;AP0028;31.07.2016 08:53;31.07.2016 08:53;476649.0631;5552573.558;476905.749;5552815.609
10085;AP0029;31.07.2016 08:55;31.07.2016 08:55;476650.0536;5552571.753;476584.0093;5552449.635
10090;AP0030;31.07.2016 09:04;31.07.2016 09:04;476324.4605;5552385.75;476421.4553;5552312.443
10091;AP0031;31.07.2016 09:05;31.07.2016 09:05;476286.7929;5553019.934;476458.2388;5552641.87
10092;AP0032;31.07.2016 09:06;31.07.2016 09:06;476092.3056;5552377.604;476328.6763;5552488.684
10095;AP0033;31.07.2016 09:10;31.07.2016 09:10;476082.8885;5552957.168;476197.1333;5552881.844
10097;AP0034;31.07.2016 09:12;31.07.2016 09:12;476233.9924;5553011.608;476664.8834;5552264.545
10098;AP0035;31.07.2016 09:12;31.07.2016 09:12;476901.7416;5552721.318;476075.695;5552789.157
10099;AP0036;31.07.2016 09:13;31.07.2016 09:13;476432.8043;5552690.803;476606.7547;5552369.86
10100;AP0037;31.07.2016 09:13;31.07.2016 09:13;476124.9318;5552933.326;476148.7717;5552911.876
10102;AP0038;31.07.2016 09:18;31.07.2016 09:18;476151.7456;5553163.044;476690.5489;5552489.967
10104;AP0039;31.07.2016 09:23;31.07.2016 09:23;476220.7153;5553008.187;476789.3476;5552486.566
10105;AP0040;31.07.2016 09:23;31.07.2016 09:23;476133.8336;5553104.157;475923.6369;5553127.716
10106;AP0041;31.07.2016 09:24;31.07.2016 09:24;476872.2059;5552893.324;476145.1625;5552846.722
10107;AP0042;31.07.2016 09:25;31.07.2016 09:25;476681.6692;5552508.272;475864.7466;5553178.392
10108;AP0043;31.07.2016 09:26;31.07.2016 09:26;476890.5187;5552834.567;476169.2194;5552839.34
10109;AP0044;31.07.2016 09:26;31.07.2016 09:26;476052.8276;5552742.37;476165.9633;5552841.995
10119;AP0045;31.07.2016 09:31;31.07.2016 09:31;476643.7292;5552882.327;476710.4639;5553251.68
10120;AP0046;31.07.2016 09:31;31.07.2016 09:31;476638.7158;5553139.331;476381.8219;5553109.835
10122;AP0047;31.07.2016 09:32;31.07.2016 09:32;476020.6579;5552754.016;476135.3108;5553226.973
10123;AP0048;31.07.2016 09:33;31.07.2016 09:33;476757.6559;5552992.679;476178.286;5552896.771
10125;AP0049;31.07.2016 09:34;31.07.2016 09:34;476341.3603;5552490.48;476745.7385;5552478.201
10126;AP0050;31.07.2016 09:35;31.07.2016 09:35;476552.4663;5552749.154;476020.631;5552719.202
10130;AP0051;31.07.2016 09:41;31.07.2016 09:41;476531.3245;5552478.156;476222.816;5552855.232
10131;AP0052;31.07.2016 09:43;31.07.2016 09:43;476655.1181;5552462.119;476571.2981;5552360.384
10136;AP0053;31.07.2016 09:45;31.07.2016 09:45;476432.8584;5552732.373;476195.3638;5552292.996
10138;AP0054;31.07.2016 09:45;31.07.2016 09:45;476633.4625;5552931.503;476070.867;5553297.989
10141;AP0055;31.07.2016 09:47;31.07.2016 09:47;476425.8072;5552741.212;476205.53;5552941.42
10143;AP0056;31.07.2016 09:48;31.07.2016 09:48;476655.7635;5552824.732;476152.397;5552986.638
10146;AP0057;31.07.2016 09:50;31.07.2016 09:50;476206.7347;5553026.7;476828.9087;5552800.045
10152;AP0058;31.07.2016 09:56;31.07.2016 09:56;476327.6082;5553227.454;476244.0203;5552765.678
10153;AP0059;31.07.2016 09:56;31.07.2016 09:56;476674.2741;5552783.499;476267.9135;5553020.346
10161;AP0060;31.07.2016 10:04;31.07.2016 10:04;476649.6786;5552540.798;475996.7563;5553293.506
10164;AP0061;31.07.2016 10:04;31.07.2016 10:04;476082.402;5552608.113;476154.8945;5552579.323
10165;AP0062;31.07.2016 10:05;31.07.2016 10:05;476408.9177;5553027.812;476843.7366;5552984.669
10168;AP0063;31.07.2016 10:06;31.07.2016 10:06;476266.8007;5552833.688;476585.502;5552746.987
10169;AP0064;31.07.2016 10:08;31.07.2016 10:08;476242.2963;5553063.225;476119.9003;5553100.809
10170;AP0065;31.07.2016 10:09;31.07.2016 10:09;476035.9693;5552191.825;476314.6849;5552881.653
10174;AP0066;31.07.2016 10:11;31.07.2016 10:11;476143.8995;5552984.872;476071.1592;5553010.798
10175;AP0067;31.07.2016 10:11;31.07.2016 10:11;476210.1206;5552918.003;476097.7705;5552694.431
10177;AP0068;31.07.2016 10:12;31.07.2016 10:12;476413.852;5552418.383;476263.8454;5552840.292
10180;AP0069;31.07.2016 10:14;31.07.2016 10:14;476077.3905;5552983.384;476020.6535;5552748.402
10181;AP0070;31.07.2016 10:14;31.07.2016 10:14;476403.7536;5552221.703;476331.9617;5552349.134
10186;AP0071;31.07.2016 10:16;31.07.2016 10:16;476829.7169;5552800.21;476098.5649;5552978.091
10187;AP0072;31.07.2016 10:17;31.07.2016 10:17;476229.7942;5552813.657;476050.9973;5552603.201
10188;AP0073;31.07.2016 10:17;31.07.2016 10:17;476530.9914;5552452.721;476097.563;5552802.095
10189;AP0074;31.07.2016 10:18;31.07.2016 10:18;476242.6976;5552856.584;476667.5566;5552952.008
10191;AP0075;31.07.2016 10:18;31.07.2016 10:18;476544.3946;5552847.245;476437.783;5552991.633
10199;AP0076;31.07.2016 10:24;31.07.2016 10:24;476743.6804;5552986.426;476207.4994;5552742.063
10200;AP0077;31.07.2016 10:25;31.07.2016 10:25;476264.879;5552842.002;476156.505;5553144.531
10201;AP0078;31.07.2016 10:25;31.07.2016 10:25;476190.4464;5552228.22;476047.8672;5552321.668
10206;AP0079;31.07.2016 10:28;31.07.2016 10:28;475922.1712;5553139.604;475997.1416;5552682.282
10208;AP0080;31.07.2016 10:32;31.07.2016 10:32;476364.0031;5552809.063;476644.0502;5552937.871
10209;AP0081;31.07.2016 10:32;31.07.2016 10:32;476284.4513;5552550.888;476659.8127;5552520.813
10212;AP0082;31.07.2016 10:36;31.07.2016 10:36;476903.532;5552815.182;476142.7984;5552857.033
10213;AP0083;31.07.2016 10:38;31.07.2016 10:38;476462.1343;5552886.495;476527.7474;5552421.021
10214;AP0084;31.07.2016 10:40;31.07.2016 10:40;476244.5284;5552672.512;476137.9956;5552877.98
10215;AP0085;31.07.2016 10:42;31.07.2016 10:42;475997.9341;5553293.578;476762.6659;5552579.788
10216;AP0086;31.07.2016 10:43;31.07.2016 10:43;476671.1728;5552560.022;476394.3214;5552225.744
10217;AP0087;31.07.2016 10:44;31.07.2016 10:44;476261.8848;5552793.389;476889.082;5552839.177
10218;AP0088;31.07.2016 10:45;31.07.2016 10:45;476192.8415;5552887.968;476235.4493;5552815.514
10219;AP0089;31.07.2016 10:47;31.07.2016 10:47;476378.8708;5552232.362;476214.6418;5552565.431
10222;AP0090;31.07.2016 10:47;31.07.2016 10:47;476189.2989;5552985.779;476020.6307;5552718.825
