customerID;jobID;bookingTime;vaTime;startX;startY;endX;endY
10003;AP3;01.12.2019T00:05;01.12.2019T00:05;330116.167;4690965.5;331118.9;4692214.8
10012;AP12;01.12.2019T00:13;01.12.2019T00:13;328537.614;4688827.2;327987.72;4689221.5
10023;AP23;01.12.2019T00:28;01.12.2019T00:28;328960.27;4690512.0;328529.27;4689502.7
10025;AP25;01.12.2019T00:32;01.12.2019T00:32;327764.59;4692563.9;327987.72;4689221.5
10036;AP36;01.12.2019T00:50;01.12.2019T00:50;326957.55;4689676.0;327987.72;4689221.5
10046;AP46;01.12.2019T01:07;01.12.2019T01:07;331005.95;4689466.2;330519.1;4689886.0
10047;AP47;01.12.2019T01:08;01.12.2019T01:08;329865.828;4690542.38;327381.91;4688674.1
10051;AP51;01.12.2019T01:13;01.12.2019T01:13;327987.72;4689221.5;326623.67;4688997.1
10053;AP53;01.12.2019T01:16;01.12.2019T01:16;328186.047;4690041.0;327987.72;4689221.5
10056;AP56;01.12.2019T01:19;01.12.2019T01:19;331005.95;4689466.2;329731.967;4688107.2
10057;AP57;01.12.2019T01:20;01.12.2019T01:20;328897.606;4690719.6;328960.27;4690512.0
10061;AP61;01.12.2019T01:24;01.12.2019T01:24;327014.51;4690478.8;324688.9;4690449.8
10063;AP63;01.12.2019T01:25;01.12.2019T01:25;331632.33;4690082.6;329731.967;4688107.2
10065;AP65;01.12.2019T01:28;01.12.2019T01:28;326949.76;4687767.8;328186.047;4690041.0
10082;AP82;01.12.2019T02:03;01.12.2019T02:03;330116.167;4690965.5;326591.427;4690477.7
10083;AP83;01.12.2019T02:04;01.12.2019T02:04;326657.415;4689074.7;326949.76;4687767.8
10085;AP85;01.12.2019T02:10;01.12.2019T02:10;330580.3;4692080.0;331062.8;4691776.0
10090;AP90;01.12.2019T02:16;01.12.2019T02:16;327987.72;4689221.5;326957.55;4689676.0
10093;AP93;01.12.2019T02:43;01.12.2019T02:43;326657.415;4689074.7;326949.76;4687767.8
10094;AP94;01.12.2019T03:40;01.12.2019T03:40;327987.72;4689221.5;326957.55;4689676.0
10096;AP96;01.12.2019T03:51;01.12.2019T03:51;326657.415;4689074.7;326949.76;4687767.8
10102;AP102;01.12.2019T04:02;01.12.2019T04:02;328395.4;4687170.31;327987.72;4689221.5
10105;AP105;01.12.2019T04:22;01.12.2019T04:22;326765.42;4689381.9;326949.76;4687767.8
10110;AP110;01.12.2019T04:38;01.12.2019T04:38;326076.78;4688308.6;328960.27;4690512.0
10114;AP114;01.12.2019T04:48;01.12.2019T04:48;327091.95;4689281.4;326949.76;4687767.8
10123;AP123;01.12.2019T05:14;01.12.2019T05:14;328395.4;4687170.31;327987.72;4689221.5
10125;AP125;01.12.2019T05:14;01.12.2019T05:14;330019.85;4693544.9;330116.167;4690965.5
10124;AP124;01.12.2019T05:14;01.12.2019T05:14;327790.23;4688472.9;329731.967;4688107.2
10127;AP127;01.12.2019T05:15;01.12.2019T05:15;327790.23;4688472.9;329731.967;4688107.2
10129;AP129;01.12.2019T05:18;01.12.2019T05:18;330019.85;4693544.9;330116.167;4690965.5
10131;AP131;01.12.2019T05:23;01.12.2019T05:23;331427.095;4689106.1;330519.1;4689886.0
10142;AP142;01.12.2019T05:38;01.12.2019T05:38;329142.722;4689445.4;328960.27;4690512.0
10150;AP150;01.12.2019T05:48;01.12.2019T05:48;330365.093;4693119.3;330116.167;4690965.5
10159;AP159;01.12.2019T05:55;01.12.2019T05:55;328919.185;4689763.9;328960.27;4690512.0
10161;AP161;01.12.2019T05:56;01.12.2019T05:56;331062.8;4691776.0;330702.9;4690925.3
10162;AP162;01.12.2019T05:58;01.12.2019T05:58;328919.185;4689763.9;328960.27;4690512.0
10170;AP170;01.12.2019T06:07;01.12.2019T06:07;329142.722;4689445.4;328960.27;4690512.0
